Smiles,pKa,predicted_pKa
C=C(C)c1ccc(C(=O)O)cc1,4.04,4.13
C=CCc1ccc(C(=O)O)cc1,4.34,4.31
C=CCc1cccc(C(=O)O)c1,4.32,4.02
CC(=O)Nc1cccc(C(=O)O)c1,4.03,4.42
CC(=O)Oc1ccc(C(=O)O)cc1,3.92,4.51
CC(=O)Oc1ccccc1C(=O)O,3.38,3.84
CC(=O)c1ccc(C(=O)O)cc1,3.7,3.88
CC(=O)c1cccc(C(=O)O)c1,3.827,3.84
CC(=O)c1ccccc1C(=O)O,4.123,3.84
CC(C)(C)c1ccc(C(=O)O)cc1,4.382,4.39
CC(C)(C)c1cccc(C(=O)O)c1,4.204,4.25
CC(C)c1ccc(C(=O)O)cc1,4.36,4.31
CC(C)c1cccc(C(=O)O)c1O,2.76,3.18
CC=Cc1ccc(C(=O)O)cc1,4.49,4.07
CC=Cc1cccc(C(=O)O)c1,4.25,4.0
CCCC(=O)c1ccccc1C(=O)O,4.45,3.88
CCOC(=O)CNc1ccc(C(=O)O)cc1,4.88,4.52
CCOC(=O)CNc1cccc(C(=O)O)c1,4.3,4.42
CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,3.63,4.02
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,3.73,3.85
CCOc1ccc(C(=O)O)c(C(=O)O)c1,2.74,3.69
CCOc1ccc(C(=O)O)c(O)c1,3.2,3.48
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,4.82,2.73
CN(C)c1ccc(C(=O)O)cc1,5.03,4.65
CN(C)c1cccc(C(=O)O)c1,5.1,4.38
CN(C)c1ccccc1C(=O)O,8.5,8.68
CNc1ccc(C(=O)O)cc1,5.04,4.52
CNc1cccc(C(=O)O)c1,5.1,4.43
CNc1ccccc1C(=O)O,5.34,4.06
COP(=O)(OC)c1ccc(C(=O)O)cc1,3.61,3.99
COP(=O)(OC)c1cccc(C(=O)O)c1,3.74,3.84
COc1cc(C(=O)O)cc(OC)c1O,4.34,4.45
COc1cc(C(=O)O)cc(OC)c1OC,4.166666666666667,4.48
COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,4.12,3.67
COc1cc(C(=O)O)ccc1O,4.49,4.53
COc1cc(OC)cc(C(=O)O)c1,3.97,4.51
COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,2.58,1.96
COc1cc2ccccc2cc1C(=O)O,3.8,4.13
COc1ccc(C(=O)O)c(C(=O)O)c1,2.67,3.63
COc1ccc(C(=O)O)c(N)c1,4.88,4.24
COc1ccc(C(=O)O)c(O)c1,3.31,3.47
COc1ccc(C(=O)O)c(OC)c1,4.36,4.56
COc1ccc(C(=O)O)c2ccccc12,4.31,4.5
COc1ccc(C(=O)O)cc1,4.2783750000000005,4.54
COc1ccc(C(=O)O)cc1O,4.47,4.54
COc1ccc(C(=O)O)cc1OC,4.395,4.52
COc1ccc(C=O)c(C(=O)O)c1OC,3.065,3.29
COc1ccc(N)c(C(=O)O)c1,5.57,4.23
COc1ccc(O)c(C(=O)O)c1,2.94,3.12
COc1cccc(C(=O)O)c1,3.8745,4.42
COc1cccc(C(=O)O)c1OC,3.98,3.88
COc1cccc(OC)c1C(=O)O,3.44,3.94
COc1ccccc1C(=O)O,3.9,4.29
C[S+](C)c1ccc(C(=O)O)cc1,3.3,3.82
C[S+](C)c1cccc(C(=O)O)c1,3.2,3.52
C[Si](C)(C)c1ccc(C(=O)O)cc1,4.234,4.11
C[Si](C)(C)c1cccc(C(=O)O)c1,4.1645,4.02
Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2.0,1.83
Cc1cc(C(=O)O)c2ccccc2c1,3.72,3.91
Cc1cc(C(=O)O)cc(C)c1C,4.52,4.24
Cc1cc(C)c(C(=O)O)c(C)c1,3.498,3.35
Cc1cc(C)c(C(=O)O)cc1C,4.38,3.95
Cc1cc(C)c(C)c(C(=O)O)c1,4.01,3.64
Cc1cc(C)c(C)c(C(=O)O)c1C,3.416,3.48
Cc1cc(C)cc(C(=O)O)c1,4.343999999999999,4.24
Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,2.78,2.42
Cc1cc2ccccc2c(C(=O)O)c1C,2.831,3.33
Cc1ccc(C(=O)O)c(C)c1,4.2595,4.0
Cc1ccc(C(=O)O)c(C)c1C,4.06,3.63
Cc1ccc(C(=O)O)c(N)c1,5.07,4.1
Cc1ccc(C(=O)O)c(O)c1,3.1630000000000003,3.27
Cc1ccc(C(=O)O)cc1,4.383333333333334,4.21
Cc1ccc(C(=O)O)cc1C,4.5,4.18
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,3.644,3.63
Cc1ccc(C)c(C(=O)O)c1,4.0205,3.95
Cc1ccc(C)c(C(=O)O)c1C,3.34,3.35
Cc1ccc(C)c(C(=O)O)c1O,3.23,2.2
Cc1ccc(N)c(C(=O)O)c1,5.13,4.03
Cc1ccc(O)c(C(=O)O)c1,3.026666666666667,3.24
Cc1ccc2ccccc2c1C(=O)O,3.034,3.3
Cc1cccc(C(=O)O)c1,4.272666666666667,4.05
Cc1cccc(C(=O)O)c1C,3.758,3.65
Cc1cccc(C(=O)O)c1O,2.971,3.15
Cc1cccc(C)c1C(=O)O,3.307,3.3
Cc1cccc(O)c1C(=O)O,3.24,1.91
Cc1ccccc1C(=O)O,3.914,3.91
N#Cc1ccc(C(=O)O)c(O)c1,2.35,2.35
N#Cc1ccc(O)c(C(=O)O)c1,2.38,2.46
NS(=O)(=O)c1ccc(C(=O)O)cc1,3.47,3.69
NS(=O)(=O)c1cccc(C(=O)O)c1,3.54,3.8
Nc1cc(Br)ccc1C(=O)O,4.37,3.94
Nc1cc(C(=O)O)c2ccccc2c1,4.39,4.22
Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,3.55,4.01
Nc1cc(C(=O)O)cc2ccccc12,4.46,4.38
Nc1cc(Cl)ccc1C(=O)O,4.44,3.94
Nc1cc(F)ccc1C(=O)O,4.6,4.1
Nc1cc([N+](=O)[O-])ccc1C(=O)O,3.7,4.0
Nc1ccc(Br)cc1C(=O)O,4.41,3.76
Nc1ccc(C(=O)O)c(O)c1,3.356666666666667,3.78
Nc1ccc(C(=O)O)cc1,4.832833333333333,4.61
Nc1ccc(Cl)cc1C(=O)O,4.35,3.76
Nc1ccc(F)cc1C(=O)O,4.82,3.97
Nc1ccc(O)cc1C(=O)O,5.37,4.13
Nc1ccc(Oc2ccccc2)cc1C(=O)O,4.88,4.18
Nc1cccc(C(=O)O)c1,4.749,4.38
Nc1ccccc1C(=O)O,4.911714285714285,4.06
O=C(O)CN(CC(=O)O)c1cc(C(=O)O)c(O)cc1C(=O)O,1.61,3.22
O=C(O)COc1ccccc1C(=O)O,2.51,3.37
O=C(O)CSc1ccccc1C(=O)O,2.93,3.55
O=C(O)c1c(Cl)cccc1Cl,1.707,2.13
O=C(O)c1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,1.42,1.36
O=C(O)c1c(F)c(F)c(Br)c(F)c1F,1.66,1.39
O=C(O)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,1.44,1.35
O=C(O)c1c(F)c(F)c(Cl)c(F)c1F,1.69,1.38
O=C(O)c1c(F)c(F)c(F)c(F)c1F,1.75,1.36
O=C(O)c1c(F)c(F)c(O)c(F)c1F,2.27,1.56
O=C(O)c1c(F)c(F)c(S)c(F)c1F,1.67,2.5
O=C(O)c1c(F)c(F)cc(F)c1F,1.87,1.42
O=C(O)c1c(O)cccc1Cl,2.63,1.57
O=C(O)c1c(O)cccc1O,1.0605,1.29
O=C(O)c1c(O)cccc1[N+](=O)[O-],2.24,1.51
O=C(O)c1cc(Br)cc(Br)c1O,2.162,2.43
O=C(O)c1cc(Br)ccc1O,2.6514,3.42
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,1.87,2.39
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1O,1.86,2.32
O=C(O)c1cc(C(=O)O)c(O)c(C(=O)O)c1,2.77,2.05
O=C(O)c1cc(Cl)ccc1Cl,2.466,2.89
O=C(O)c1cc(Cl)ccc1O,2.695,3.36
O=C(O)c1cc(I)cc(I)c1O,2.299,2.57
O=C(O)c1cc(I)ccc1O,2.6595000000000004,3.49
O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)O)cc2)ccc1O,2.38,0.55
O=C(O)c1cc(O)c(O)c(O)c1,4.27,4.29
O=C(O)c1cc(O)c2ccccc2c1,4.25,4.21
O=C(O)c1cc(O)cc(O)c1,4.039,4.35
O=C(O)c1cc(O)cc2ccccc12,3.69,3.88
O=C(O)c1cc(O)ccc1O,2.9655,2.71
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.7,1.39
O=C(O)c1cc([N+](=O)[O-])cc2ccccc12,2.83,3.37
O=C(O)c1cc([N+](=O)[O-])ccc1O,2.18,2.36
